"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:12:57,FALSE,NA,"705591836828512256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alipatnelia",3278,TRUE,FALSE,NA,NA
"2","RT @popoymay: #PiliPinasDebates2016 #PHVoteDuterte",FALSE,0,NA,2016-03-04 03:11:40,FALSE,NA,"705591511778394112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desiree2ne1",1,TRUE,FALSE,NA,NA
"3","RT @claire_tillman: #phvoteduterte  #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:11:19,FALSE,NA,"705591423232389120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desiree2ne1",1,TRUE,FALSE,NA,NA
"4","RT @yhtacenahs: #PHVoteDuterte #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:11:13,FALSE,NA,"705591398389542912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desiree2ne1",1,TRUE,FALSE,NA,NA
"5","RT @kittyelhen: #PHVoteDuterte   #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:10:28,FALSE,NA,"705591210857992196",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desiree2ne1",1,TRUE,FALSE,NA,NA
"6","RT @lulukreng: #PiliPinasDebates2016 #PHVoteDuterte",FALSE,0,NA,2016-03-04 03:07:53,FALSE,NA,"705590559851700224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desiree2ne1",1,TRUE,FALSE,NA,NA
"7","RT @kenreihc47: #PiliPinasDebates2016  #phvoteduterte go duterte",FALSE,0,NA,2016-03-04 03:07:18,FALSE,NA,"705590414141591552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desiree2ne1",1,TRUE,FALSE,NA,NA
"8","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:06:11,FALSE,NA,"705590133781729280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","trishajoyerni2",3278,TRUE,FALSE,NA,NA
"9","numbeo. 
wharton. 
now yolanda funds.

one thing's clear-duterte lives in a fact-free world. can u trust PH w/ him?

#PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:04:16,FALSE,NA,"705589649134104576",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","xpeanutgalleryx",0,FALSE,FALSE,NA,NA
"10","RT @bernardokath: Goodluck kuya mar! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinasDebates2016 #MarWithAPlan https://t.co/IhwF9xMHU2",FALSE,0,NA,2016-03-04 03:03:08,FALSE,NA,"705589363598499840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","trishajoyerni2",3446,TRUE,FALSE,NA,NA
