"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"37","RT @rapplerdotcom: James Reid, Nadine Lustre on their real-life romance https://t.co/ENGaC0ENfZ #JaDine https://t.co/w8VkdEIIa2",FALSE,0,NA,2016-03-04 02:16:42,FALSE,NA,"705577679555198976",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ClovesSarahG",109,TRUE,FALSE,NA,NA
"38","RT @PEPalerts: Coco &amp; Sarah G were supposed to topbill #OTWOL before it went to #JaDine; read: https://t.co/cCPQSsR8st https://t.co/gxahpsO…",FALSE,0,NA,2016-03-04 02:16:20,FALSE,NA,"705577586655567872",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ClovesSarahG",120,TRUE,FALSE,NA,NA
"39","RT @iwantvph: #Newsbyte: #JaDine to star in summer movie: https://t.co/ZIhf17ipHl https://t.co/jIEe597Fny",FALSE,0,NA,2016-03-04 02:16:02,FALSE,NA,"705577513049698304",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ClovesSarahG",109,TRUE,FALSE,NA,NA
"40","#JaDine's Hanap-hanap on @Spotify's Top Hits PH playlist 

Paano magmove-on sainyo @JayeHanash &amp; @hellobangsie?? <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,1,NA,2016-03-04 02:03:41,FALSE,NA,"705574405783457792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itslhaielaloo",0,FALSE,FALSE,NA,NA
"41","eh JaDine na #JaDine dating nito eh.. pasensya #SpringLove
https://t.co/2Fkd5VLjlb",FALSE,0,NA,2016-03-04 01:59:12,FALSE,NA,"705573276181929984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yaLuvs12",0,FALSE,FALSE,NA,NA
"42","Let my Shirt do the talking. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #TeamReal 
#JaDine https://t.co/Ap6qPjMwXb",FALSE,0,NA,2016-03-04 01:58:36,FALSE,NA,"705573123232370689",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","chukideguzman",0,FALSE,FALSE,NA,NA
"43","@Forever_Jadine2 @OfficialBaileyM @ylona_garcia thank you for the love team #JaDine <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><U+2764><U+2764><U+2764>",FALSE,1,"Forever_Jadine2",2016-03-04 01:57:33,FALSE,"705554013840740353","705572860023013376","3569210174","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CatherineG0116",0,FALSE,FALSE,NA,NA
"44","RT @leahmiralles: Left: James' wallpaper
Right: Naddie's wallpaper
TRUE STORY. DAAAAANG. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> OJD TALAGA JUSKOLORD. #JaDine https://t.co/oqfBJ…",FALSE,0,NA,2016-03-04 01:57:13,FALSE,NA,"705572778624184320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roshenikhka",1,TRUE,FALSE,NA,NA
"45","OTWOL marathon coz I miss them!
#jadine #OTWOLSepanx",FALSE,1,NA,2016-03-04 01:56:44,FALSE,NA,"705572653206142976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CallMeFeil",0,FALSE,FALSE,NA,NA
"46","VOTE NADINE FOR MYX
#VoteJamesFFP #KCA
HAHAHAHA.IKAW BA NAMAN HINGAN NG BF.
#jadine #teamreal #ojd https://t.co/QCukCQaJXu",FALSE,0,NA,2016-03-04 01:55:59,FALSE,NA,"705572465582342144",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ashae924",0,FALSE,FALSE,NA,NA
"47","Cute.... 
#jadine 
NADINE FOR MYX AWARDS https://t.co/dekYDkcCZ9",FALSE,0,NA,2016-03-04 01:53:00,FALSE,NA,"705571716026802176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsmemaryme",0,FALSE,FALSE,NA,NA
"48","https://t.co/etKVYGo6VR The look on their faces. #JaDine is REAL! @peppyvagabond @fancyjulries",FALSE,1,NA,2016-03-04 01:50:19,FALSE,NA,"705571041309921280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marielovesjapan",0,FALSE,FALSE,NA,NA
"49","#VOTEJamesFPP #KCA 
Sweetness overload
#jadine #nadinelustre #jamesreid © enzo https://t.co/V70FVjNT6m",FALSE,0,NA,2016-03-04 01:48:58,FALSE,NA,"705570701978132480",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ashae924",0,FALSE,FALSE,NA,NA
"50","RT @ABSCBN: Narito ang unang patikim sa bagong pelikula ng #JaDine! https://t.co/2vqZ3fBAXt https://t.co/48hYxCohQg",FALSE,0,NA,2016-03-04 01:43:23,FALSE,NA,"705569294352908288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AprilboyRoluna",267,TRUE,FALSE,NA,NA
