"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @koodji: <U+0E21><U+0E35><U+0E25><U+0E38><U+0E07><U+0E41><U+0E16><U+0E27><U+0E19><U+0E35><U+0E49><U+0E25><U+0E37><U+0E21> #Oscars  <U+0E44><U+0E27><U+0E49><U+0E17><U+0E35><U+0E48><U+0E23><U+0E49><U+0E32><U+0E19><U+0E2D><U+0E32><U+0E2B><U+0E32><U+0E23> 55555555555555 <U+0E1E><U+0E19><U+0E07>.<U+0E15><U+0E49><U+0E2D><U+0E07><U+0E40><U+0E2D><U+0E32><U+0E21><U+0E32><U+0E04><U+0E37><U+0E19>

<U+0E02><U+0E2D><U+0E21><U+0E35><U+0E21><U+0E43><U+0E2B><U+0E21><U+0E48><U+0E14><U+0E49><U+0E27><U+0E22><U+0E04><U+0E48><U+0E30> 5555555555555 https://t.co/hK8MjhASZT",FALSE,0,NA,2016-03-04 04:05:46,FALSE,NA,"705605125407027200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WineWisky",2200,TRUE,FALSE,NA,NA
"2","RT @jcramms: Congrats to you Leo, we Mountaineers love you and your choice of hats. #Oscars https://t.co/C9Nzze8mX2",FALSE,0,NA,2016-03-04 04:05:44,FALSE,NA,"705605117513486336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fulveenkaur",602,TRUE,FALSE,NA,NA
"3","RT @MTV: 20 years of Buzz and Woody? BRB. Crying. #Oscars https://t.co/55Kf5O6hYM",FALSE,0,NA,2016-03-04 04:05:30,FALSE,NA,"705605059506114560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","laurisschmidt",2877,TRUE,FALSE,NA,NA
"4","RT @Marsimmm: Congrats Leo! <ed><U+00A0><U+00BC><ed><U+00BE><U+00AD> #Oscars (Vine by @masonchillout) https://t.co/QjCh9Csksr",FALSE,0,NA,2016-03-04 04:05:28,FALSE,NA,"705605050874339328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AvaMarti",2,TRUE,FALSE,NA,NA
"5","interesting - woudl have been a great stunt!  Sorry it was canned at the last minute #Oscars #Oscars2016  https://t.co/Lnn2tR3Kj4",FALSE,0,NA,2016-03-04 04:05:23,FALSE,NA,"705605029969793024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DiamondsIntBris",0,FALSE,FALSE,NA,NA
"6","RT @justlisaxx: He's waited 19 years. no one more deserving <U+2764><U+FE0F> #Oscars  https://t.co/VEoDkop5Nu",FALSE,0,NA,2016-03-04 04:05:22,FALSE,NA,"705605024643207169",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Jayy_wild",799,TRUE,FALSE,NA,NA
"7","RT @Freddy_James1: Great speech
#congrats #goleo #leonardodicaprio 
#oscars #2016 #actors #actorslife… https://t.co/hXpAoByLZC",FALSE,0,NA,2016-03-04 04:05:17,FALSE,NA,"705605003893800960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rickjamesprod",3,TRUE,FALSE,NA,NA
"8","RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars",FALSE,0,NA,2016-03-04 04:05:14,FALSE,NA,"705604994976899072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gh_rubius",370599,TRUE,FALSE,NA,NA
"9","RT @TeenVogue: Dr. Luke tried to silence Kesha for supporting Lady Gaga's #Oscars performance: https://t.co/FQExGSIrIC https://t.co/YXwESIi…",FALSE,0,NA,2016-03-04 04:05:07,FALSE,NA,"705604965344083968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nea_louiseee",3219,TRUE,FALSE,NA,NA
"10","Only 2 mins over! The @FoxNews debate producer should think about running the #Oscars next year. 
#GOPDebate #vote2016 #producerproblems",FALSE,1,NA,2016-03-04 04:05:07,FALSE,NA,"705604961652969472",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","robsuruncle",0,FALSE,FALSE,NA,NA
"11","RT @bombblackgirlss: everybody's face when Stacy Dash came out #Oscars https://t.co/6WoyZ5EC5h",FALSE,0,NA,2016-03-04 04:05:02,FALSE,NA,"705604941163962368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_callmekiya_",642,TRUE,FALSE,NA,NA
"12","RT @Nightline: Meet the activists from @ladygaga's #Oscars performance: https://t.co/guAOUJhyyo",FALSE,0,NA,2016-03-04 04:04:58,FALSE,NA,"705604925074612224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nea_louiseee",1318,TRUE,FALSE,NA,NA
"13","RT @vigorousljp: #Oscars I'M DYING https://t.co/eaYVaSM5cT",FALSE,0,NA,2016-03-04 04:04:50,FALSE,NA,"705604892468051970",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fxdoblas",9,TRUE,FALSE,NA,NA
"14","RT @meanpIastic: THIS IS STILL FUNNY #Oscars  https://t.co/6fwPSWbnS3",FALSE,0,NA,2016-03-04 04:04:50,FALSE,NA,"705604890484051969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","newbzzz_",3021,TRUE,FALSE,NA,NA
"15","""@MadMaxMovie: They will ride with Oscar gold. #MadMax #Oscars https://t.co/NLfQqaqj6M"" Man ... 6 Oscars,  congrats guys !",FALSE,0,NA,2016-03-04 04:04:49,FALSE,NA,"705604886696759296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DanielAsHkov",0,FALSE,FALSE,NA,NA
"16","RT @leahbergman: #madmax for #bestmakeup too is it going to be a sweep?#Oscars #academyawards #DolbyTheatre #DolbyAtmos",FALSE,0,NA,2016-03-04 04:04:46,FALSE,NA,"705604875573452804",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Earline2923",1,TRUE,FALSE,NA,NA
